episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1701, -2606.388718008995, 2, 32.41230332300074, 113, 677540,                                             677540, 0.0, 4530.80322265625
1702, -2285.8245747089386, 2, 11.58696658199915, 35, 677575,                                             677575, 0.0, 9539.65625
1703, -2424.7834510803223, 2, 17.604219839999132, 58, 677633,                                             677633, 0.0, 4845.14013671875
1704, -2669.025885105133, 2, 37.73621429599916, 121, 677754,                                             677754, 0.0, 6141.0576171875
1705, -2581.4401507377625, 2, 34.780605480000304, 107, 677861,                                             677861, 0.0, 5171.92236328125
1706, 1467.9345407783985, 1, 75.92709013400054, 236, 678097,                                             678097, 0.0, 6445.89794921875
1707, -3180.9702636003494, 3, 51.87265540899898, 163, 678260,                                             678260, 0.0, 4654.2626953125
1708, -2606.3788853883743, 3, 35.46292192799956, 110, 678370,                                             678370, 0.0, 6208.87255859375
1709, -2489.6355870366096, 2, 23.55997896899862, 76, 678446,                                             678446, 0.0, 5265.09228515625
1710, 2168.337475270033, 1, 24.026579309000226, 77, 678523,                                             678523, 0.0, 4212.53515625
1711, -2562.9238588809967, 2, 8.361771657000645, 30, 678553,                                             678553, 0.0, 7127.5322265625
1712, 2293.0796677470207, 1, 15.36289829999987, 51, 678604,                                             678604, 0.0, 5703.4755859375
1713, 1818.532750248909, 1, 45.55797599200014, 150, 678754,                                             678754, 0.0, 5870.0068359375
1714, -2817.4240277409554, 2, 35.73587178300113, 122, 678876,                                             678876, 0.0, 5617.2783203125
1715, 1873.1144919991493, 1, 41.809539978999965, 136, 679012,                                             679012, 0.0, 5469.1279296875
1716, 1713.3539597988129, 1, 47.33947864900074, 161, 679173,                                             679173, 0.0, 5568.37744140625
1717, 1597.95001283288, 1, 49.359580633001315, 168, 679341,                                             679341, 0.0, 5906.08349609375
1718, 1976.6970245242119, 1, 32.48730860199976, 111, 679452,                                             679452, 0.0, 5121.337890625
1719, -3346.7605414390564, 2, 56.533815482000136, 197, 679649,                                             679649, 0.0, 5297.48681640625
1720, 2323.4203065931797, 1, 16.54997394199927, 58, 679707,                                             679707, 0.0, 4291.0888671875
