episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4458.892066001892, 2, 13.747556182999688, 237, 25096,                                             25096, 0.0, 5008.84130859375
2, 2162.058614075184, 1, 10.187654311999722, 166, 25262,                                             25262, 0.0, 4596.95654296875
3, -2578.5726058483124, 2, 4.526977225999872, 74, 25336,                                             25336, 0.0, 4949.3427734375
4, -2937.7463715076447, 2, 7.132462664999366, 122, 25458,                                             25458, 0.0, 4298.37890625
5, -5518.196125030518, 2, 30.36975472499944, 528, 25986,                                             25986, 0.0, 4275.28662109375
6, -3137.7787799835205, 2, 16.156111465999857, 279, 26265,                                             26265, 0.0, 3487.065185546875
7, -3430.5428500175476, 2, 11.139376699999957, 187, 26452,                                             26452, 0.0, 3662.326416015625
8, -4007.862697005272, 2, 20.567609038000228, 354, 26806,                                             26806, 0.0, 4568.95458984375
9, -4848.740641236305, 2, 18.347223994999695, 313, 27119,                                             27119, 0.0, 4988.9423828125
10, -2753.3789583444595, 2, 8.319778048000444, 134, 27253,                                             27253, 0.0, 3851.062255859375
11, -2836.3583999872208, 2, 10.142101407000155, 171, 27424,                                             27424, 0.0, 4954.03662109375
12, -4098.32043671608, 2, 15.947137025999837, 273, 27697,                                             27697, 0.0, 4979.26953125
13, -3332.3035328388214, 2, 11.735684737000156, 199, 27896,                                             27896, 0.0, 3930.4169921875
14, -2879.835202932358, 2, 7.333479052000257, 125, 28021,                                             28021, 0.0, 5002.6630859375
15, -2836.5077834129333, 2, 9.92361928199989, 164, 28185,                                             28185, 0.0, 4263.3232421875
16, -5112.584703087807, 2, 35.2084006770001, 592, 28777,                                             28777, 0.0, 4812.81201171875
17, -316.05370342731476, 1, 25.979703016000713, 451, 29228,                                             29228, 0.0, 4189.8837890625
18, -2590.8016765117645, 2, 4.5082570860004125, 74, 29302,                                             29302, 0.0, 4268.7431640625
19, -4483.22704064846, 2, 30.98942836399965, 522, 29824,                                             29824, 0.0, 5529.0009765625
20, -3503.835275232792, 2, 22.97859476299982, 385, 30209,                                             30209, 0.0, 4655.77001953125
21, -3901.574467897415, 2, 15.772654434999822, 254, 30463,                                             30463, 0.0, 13727.490234375
22, -3394.423513650894, 3, 19.784217892000015, 332, 30795,                                             30795, 0.0, 4845.3564453125
23, -3118.177382826805, 2, 11.107289554999625, 181, 30976,                                             30976, 0.0, 5352.51318359375
24, -2874.735065460205, 2, 7.935248992000197, 130, 31106,                                             31106, 0.0, 5141.3212890625
25, -3400.1446628570557, 3, 11.130506124999556, 182, 31288,                                             31288, 0.0, 4336.73486328125
26, -2895.4727535247803, 2, 10.943923779000215, 181, 31469,                                             31469, 0.0, 4978.63720703125
27, -3044.653318166733, 2, 13.53423083600046, 214, 31683,                                             31683, 0.0, 4932.986328125
28, -4716.573741674423, 2, 33.00437580200014, 560, 32243,                                             32243, 0.0, 4587.6220703125
29, -3542.0540733337402, 2, 23.148876150000433, 377, 32620,                                             32620, 0.0, 5728.64111328125
30, -3048.263578057289, 2, 9.940851610000209, 167, 32787,                                             32787, 0.0, 6013.095703125
31, -2912.4623735547066, 2, 12.564065518999996, 205, 32992,                                             32992, 0.0, 6034.6689453125
32, -4879.882932960987, 2, 23.374945797999317, 406, 33398,                                             33398, 0.0, 7966.2177734375
33, -5427.13263630867, 2, 35.82637908200013, 580, 33978,                                             33978, 0.0, 5541.8642578125
34, -4182.182120323181, 2, 16.7296474449995, 271, 34249,                                             34249, 0.0, 5578.0791015625
35, -2951.9394785165787, 2, 13.547752260999914, 219, 34468,                                             34468, 0.0, 7395.85791015625
36, -3923.579280734062, 2, 26.58287425599974, 426, 34894,                                             34894, 0.0, 5031.814453125
37, -3434.8103014826775, 2, 16.139825188999566, 256, 35150,                                             35150, 0.0, 5650.84912109375
38, -3373.204820692539, 3, 20.207674932000373, 328, 35478,                                             35478, 0.0, 7652.3046875
39, -2749.2783279418945, 2, 8.287694595000175, 129, 35607,                                             35607, 0.0, 3968.796630859375
40, -3522.085794568062, 4, 49.63816028100064, 798, 36405,                                             36405, 0.0, 7704.19482421875
41, -4067.0647524297237, 2, 27.37346592600079, 429, 36834,                                             36834, 0.0, 7494.7490234375
42, -3170.4900708198547, 2, 15.140647932999855, 237, 37071,                                             37071, 0.0, 6827.84423828125
43, -2530.6684279441833, 2, 6.133780684999692, 96, 37167,                                             37167, 0.0, 8829.94140625
44, -4499.156752109528, 2, 27.56167881500005, 430, 37597,                                             37597, 0.0, 5859.494140625
45, -3275.543315887451, 2, 13.945486103999428, 213, 37810,                                             37810, 0.0, 5443.732421875
46, -3113.398402631283, 2, 14.950679120999666, 245, 38055,                                             38055, 0.0, 5821.056640625
47, -3038.9717831611633, 2, 12.729280365000704, 211, 38266,                                             38266, 0.0, 6789.13671875
48, -5242.143620967865, 2, 39.81810036200022, 653, 38919,                                             38919, 0.0, 5858.0634765625
49, -2749.6976342201233, 2, 7.318636496999716, 119, 39038,                                             39038, 0.0, 4071.683837890625
50, -4486.187752723694, 2, 17.55424902300001, 293, 39331,                                             39331, 0.0, 5856.54736328125
51, -2540.757491827011, 2, 6.1480600229997435, 99, 39430,                                             39430, 0.0, 6015.75439453125
52, -3586.823631644249, 2, 18.609994065000137, 310, 39740,                                             39740, 0.0, 6539.02783203125
53, -3143.2179787158966, 2, 17.29639556500024, 264, 40004,                                             40004, 0.0, 6905.2041015625
54, -3489.741087913513, 2, 14.147598210999604, 222, 40226,                                             40226, 0.0, 5592.51953125
55, -3501.4489430189133, 2, 20.769072791000326, 321, 40547,                                             40547, 0.0, 6231.93212890625
56, -3782.645341873169, 2, 23.758462090999274, 355, 40902,                                             40902, 0.0, 6011.54150390625
57, -4575.2051347494125, 2, 22.975728835000155, 356, 41258,                                             41258, 0.0, 4197.19140625
58, -2997.405893802643, 2, 12.332374747000358, 187, 41445,                                             41445, 0.0, 4873.18603515625
59, 2215.7616636157036, 1, 6.133442117999948, 94, 41539,                                             41539, 0.0, 4831.51416015625
60, -2585.98078083992, 2, 4.9118117200005145, 73, 41612,                                             41612, 0.0, 3638.23193359375
61, -3385.0675967931747, 2, 16.18472903899965, 240, 41852,                                             41852, 0.0, 5243.66259765625
62, -2842.145899295807, 3, 9.741972317000545, 152, 42004,                                             42004, 0.0, 5707.27978515625
63, -3101.7685930728912, 2, 15.765596889000335, 237, 42241,                                             42241, 0.0, 4510.0263671875
64, -3175.5310692191124, 2, 18.548170848000154, 283, 42524,                                             42524, 0.0, 4891.1904296875
65, -2939.778248488903, 2, 12.150916370000232, 176, 42700,                                             42700, 0.0, 4734.375
66, -2755.535651922226, 2, 8.11947903700002, 119, 42819,                                             42819, 0.0, 4868.19287109375
67, -3276.1208341121674, 2, 17.16374235300009, 260, 43079,                                             43079, 0.0, 4409.9716796875
68, -3143.104238510132, 2, 12.542843914000514, 191, 43270,                                             43270, 0.0, 4062.23291015625
69, -4376.894251227379, 2, 21.7663171460008, 333, 43603,                                             43603, 0.0, 4198.11767578125
70, -3749.1589807271957, 3, 24.564647057999537, 371, 43974,                                             43974, 0.0, 4655.404296875
71, -3751.284045815468, 3, 13.174841691000438, 204, 44178,                                             44178, 0.0, 4888.29248046875
72, -4109.994941115379, 2, 17.353739707000386, 267, 44445,                                             44445, 0.0, 5325.18798828125
73, -2979.03047978878, 2, 13.339302307999787, 191, 44636,                                             44636, 0.0, 5439.642578125
74, -4533.404447317123, 4, 49.84287990499979, 771, 45407,                                             45407, 0.0, 4548.130859375
75, -3296.824736237526, 2, 13.596010009000565, 201, 45608,                                             45608, 0.0, 3902.161376953125
76, -4125.194919586182, 2, 29.134340012999928, 441, 46049,                                             46049, 0.0, 4960.33154296875
77, -3020.57968378067, 2, 9.927494680000564, 147, 46196,                                             46196, 0.0, 3283.327880859375
78, -4003.1847361922264, 3, 18.5628599089996, 289, 46485,                                             46485, 0.0, 4231.52880859375
79, -3848.5778609514236, 2, 23.357424726999852, 360, 46845,                                             46845, 0.0, 4258.3076171875
80, -2786.575617134571, 2, 10.343123804000243, 159, 47004,                                             47004, 0.0, 4058.249267578125
81, -3020.627651453018, 2, 10.747853529000167, 163, 47167,                                             47167, 0.0, 3530.909912109375
82, -4149.742113113403, 2, 20.97329019300014, 312, 47479,                                             47479, 0.0, 4154.55029296875
83, -4069.8229579925537, 2, 26.18518039599985, 403, 47882,                                             47882, 0.0, 4198.64990234375
84, -2778.903628349304, 2, 8.718477639000412, 131, 48013,                                             48013, 0.0, 3777.906005859375
85, -3279.2148475646973, 2, 15.55166681799983, 239, 48252,                                             48252, 0.0, 4893.92041015625
86, -3189.7867077589035, 2, 10.723393453999961, 161, 48413,                                             48413, 0.0, 4965.01806640625
87, -3424.9147737026215, 2, 18.35795118199985, 273, 48686,                                             48686, 0.0, 4224.16259765625
88, -3553.9513640403748, 3, 15.33609153999987, 236, 48922,                                             48922, 0.0, 4957.6171875
89, -4385.768781900406, 2, 38.20550485500007, 593, 49515,                                             49515, 0.0, 4768.11767578125
90, -5144.77801156044, 2, 37.41454446100033, 577, 50092,                                             50092, 0.0, 4666.18603515625
91, -3991.308096885681, 2, 20.566189318999932, 331, 50423,                                             50423, 0.0, 3781.3330078125
92, -2917.3429083824158, 2, 7.935510908000651, 123, 50546,                                             50546, 0.0, 4017.432861328125
93, -2581.6488465070724, 2, 7.177532617999532, 116, 50662,                                             50662, 0.0, 4526.70751953125
94, -3838.4811395406723, 2, 22.128712441999596, 350, 51012,                                             51012, 0.0, 3824.166748046875
95, -3139.278625011444, 2, 12.127677614999811, 195, 51207,                                             51207, 0.0, 3883.248779296875
96, -4999.089339733124, 2, 35.80145242099934, 559, 51766,                                             51766, 0.0, 3712.35595703125
97, 1905.4397954940796, 1, 10.963023688000249, 183, 51949,                                             51949, 0.0, 7792.88916015625
98, -3891.2967813014984, 2, 18.326247832000263, 299, 52248,                                             52248, 0.0, 3696.397216796875
99, -3669.4736465215683, 3, 20.360751358000016, 318, 52566,                                             52566, 0.0, 4047.483154296875
100, -3726.906777858734, 3, 22.753845328999887, 365, 52931,                                             52931, 0.0, 4072.789794921875
101, -3765.626626968384, 3, 16.8544289320007, 272, 53203,                                             53203, 0.0, 3749.90478515625
102, -3166.3764783143997, 2, 14.35610532499959, 231, 53434,                                             53434, 0.0, 3837.65087890625
103, -3166.930518269539, 2, 15.941481472000305, 243, 53677,                                             53677, 0.0, 3842.6865234375
104, -5712.073847830296, 4, 50.460775925000235, 833, 54510,                                             54510, 0.0, 3974.239990234375
105, -2898.5423793792725, 2, 11.109831232000033, 172, 54682,                                             54682, 0.0, 3703.912841796875
106, -3420.351334810257, 3, 17.5644348779997, 282, 54964,                                             54964, 0.0, 3708.975341796875
107, -5724.664247751236, 2, 31.99563038800079, 498, 55462,                                             55462, 0.0, 3433.95849609375
108, -4079.4212394952774, 4, 49.83291493300021, 802, 56264,                                             56264, 0.0, 3768.724365234375
109, -2914.117531299591, 2, 10.33865805000005, 171, 56435,                                             56435, 0.0, 3716.054443359375
110, -4057.3938380479813, 3, 15.138401320999947, 237, 56672,                                             56672, 0.0, 3490.2666015625
111, -4969.204525709152, 2, 20.798210748999736, 338, 57010,                                             57010, 0.0, 4327.93896484375
112, -3027.1119725704193, 3, 11.331730440999308, 181, 57191,                                             57191, 0.0, 3359.640869140625
113, -5002.750069737434, 2, 23.98132950299987, 396, 57587,                                             57587, 0.0, 3630.907470703125
114, -5076.034123599529, 2, 32.98362218300008, 539, 58126,                                             58126, 0.0, 4281.12744140625
115, -5918.100581765175, 2, 38.19453241699921, 614, 58740,                                             58740, 0.0, 3627.521240234375
116, -2808.0082128047943, 2, 8.336119620000318, 136, 58876,                                             58876, 0.0, 3992.87548828125
117, -2884.1305072307587, 2, 10.32288814399999, 164, 59040,                                             59040, 0.0, 8685.96875
118, -3578.7550930976868, 2, 15.140010191000329, 251, 59291,                                             59291, 0.0, 4073.927001953125
119, -4171.806730031967, 2, 16.361949590999757, 275, 59566,                                             59566, 0.0, 5463.16015625
120, -2922.513233602047, 2, 14.750189411000065, 232, 59798,                                             59798, 0.0, 4092.072998046875
121, -4521.543213248253, 2, 18.762406814000315, 303, 60101,                                             60101, 0.0, 4005.744140625
122, -3519.907655477524, 2, 15.154429491999508, 252, 60353,                                             60353, 0.0, 4777.685546875
123, -3970.1046097278595, 4, 49.63389325800017, 833, 61186,                                             61186, 0.0, 5132.14599609375
124, -5140.522631883621, 2, 41.62604768199981, 662, 61848,                                             61848, 0.0, 5219.333984375
125, -3649.635418534279, 2, 22.171502627000336, 337, 62185,                                             62185, 0.0, 4359.76416015625
126, -4683.920746564865, 2, 23.9659369459996, 368, 62553,                                             62553, 0.0, 4523.638671875
127, -3520.1954416036606, 2, 14.77815606599961, 228, 62781,                                             62781, 0.0, 4537.53759765625
128, -7643.640675902367, 2, 34.561022081000374, 562, 63343,                                             63343, 0.0, 4824.38427734375
129, -3575.3634308576584, 2, 20.168220352999924, 324, 63667,                                             63667, 0.0, 4446.037109375
130, -2888.552669286728, 2, 10.92899516899979, 169, 63836,                                             63836, 0.0, 9404.916015625
131, -4650.093258261681, 2, 33.425658320000366, 544, 64380,                                             64380, 0.0, 4087.5546875
132, -2890.6629289388657, 2, 12.132375688000138, 186, 64566,                                             64566, 0.0, 4143.1904296875
133, -4122.313293814659, 2, 27.57167773999936, 413, 64979,                                             64979, 0.0, 4439.26123046875
134, -3797.0980875492096, 2, 15.73405164399992, 251, 65230,                                             65230, 0.0, 4853.93212890625
135, -3417.8113112449646, 2, 10.551246248999632, 172, 65402,                                             65402, 0.0, 5398.4931640625
136, -3221.400010228157, 2, 13.529668095000488, 214, 65616,                                             65616, 0.0, 37379.5546875
137, -2757.545284450054, 2, 8.137275784999474, 128, 65744,                                             65744, 0.0, 4963.59326171875
138, -3278.808076441288, 2, 17.16099948700048, 280, 66024,                                             66024, 0.0, 4247.89208984375
139, -3443.089577496052, 3, 20.349082219000593, 320, 66344,                                             66344, 0.0, 4240.60986328125
140, -3489.364361166954, 2, 19.767144489999737, 319, 66663,                                             66663, 0.0, 4490.9404296875
141, -2953.3701733350754, 3, 11.125448456999948, 171, 66834,                                             66834, 0.0, 4429.123046875
142, -4656.297942519188, 3, 21.971382266000546, 358, 67192,                                             67192, 0.0, 4304.4521484375
143, -5218.997123599052, 2, 33.78875602700009, 550, 67742,                                             67742, 0.0, 4161.72705078125
144, -4194.285116434097, 3, 26.569215878999785, 430, 68172,                                             68172, 0.0, 4079.1357421875
